,text,unit
0," Phloem in gymnosperms lacks

(1) both sieve tubes and companion cells

(2) albuminous cells and sieve cells

(3) sieve tubes only

(4) companion cells only.

",Anatomy of Flowering Plants
1," Regeneration of damaged growing grass following grazing is largely
due to

(1) lateral meristem

(2) apical meristem

(3) intercalary meristem

(4) secondary meristem.

",Anatomy of Flowering Plants
2," Tracheids differ from other tracheary elements in

(1) having Casparian strips

(2) being imperforate

(3) lacking nucleus

(4) being lignified.

",Anatomy of Flowering Plants
3," Meristematic tissue responsible for increase in girth of tree trunk
is

(1) intercalary meristem

(2) lateral meristem

(3) phellogen

(4) apical meristem.

",Anatomy of Flowering Plants
4," Gymnosperms are also called soft wood spermatophytes because they
lack

(1) cambium

(2) phloem fibres

(3) thick-walled tracheids

(4) xylem fibres.

",Anatomy of Flowering Plants
5," Companion cells are closely associated with

(1) sieve elements

(2) vessel elements

(3) trichomes

(4) guard cells.

",Anatomy of Flowering Plants
6," Function of companion cells is

(1) providing energy to sieve elements for active transport

(2) providing water to phloem

(3) loading of sucrose into sieve elements by passive transport

(4) loading of sucrose into sieve elements.

",Anatomy of Flowering Plants
7," Which one of the following is not a lateral meristem?

(1) Intrafascicular cambium

(2) Interfascicular cambium

(3) Phellogen

(4) Intercalary meristem

",Anatomy of Flowering Plants
8," The chief water conducting elements of xylem in gymnosperms are

(1) vessels

(2) fibres

(3) transfusion tissue

(4) tracheids.

",Anatomy of Flowering Plants
9," Transport of food material in higher plants takes place through

(1) companion cells

(2) transfusion tissue

(3) tracheids

(4) sieve elements.

",Anatomy of Flowering Plants
10," The length of different internodes in a culm of sugarcane is
variable because of

(1) size of leaf lamina at the node below each internode

(2) intercalary meristem

(3) shoot apical meristem

(4) position of axillary buds.

",Anatomy of Flowering Plants
11," A common structural feature of vessel elements and sieve tube
elements is

(1) enucleate condition

(2) thick secondary walls

(3) pores on lateral walls

(4) presence of P-protein.

",Anatomy of Flowering Plants
12," The apical meristem of the root is present

(1) only in radicals

(2) only in tap roots

(3) only in adventitious roots

(4) in all the roots.

",Anatomy of Flowering Plants
13," Chlorenchyma is known to develop in the

(1) cytoplasm of Chlorella

(2) mycelium of a green mould such as Aspergillus

(3) spore capsule of a moss

(4) pollen tube of Pinus.

",Anatomy of Flowering Plants
14," The cells of the quiescent centre are characterised by

(1) having dense cytoplasm and prominent nuclei

(2) having light cytoplasm and small nuclei

(3) dividing regularly to add to the corpus

(4) dividing regularly to add to tunica.

",Anatomy of Flowering Plants
15," Which of the following statements is true?

(1) Vessels are multicellular with wide lumen.

(2) Tracheids are multicellular with narrow lumen.

(3) Vessels are unicellular with narrow lumen.

(4) Tracheids are unicellular with wide lumen.

",Anatomy of Flowering Plants
16," Axillary bud and terminal bud derived from the activity of

(1) lateral meristem

(2) intercalary meristem

(3) apical meristem

(4) parenchyma.

",Anatomy of Flowering Plants
17," Vessels are found in

(1) all angiosperms and some gymnosperm

(2) most of angiosperms and few gymnosperms

(3) all angiosperms, all gymnosperms and some pteridophyta

(4) all pteridophyta.

",Anatomy of Flowering Plants
18," At maturity, which of the following is non-nucleated?

(1) Palisade cell

(2) Cortical cell

(3) Sieve cell

(4) Companion cell

",Anatomy of Flowering Plants
19," Which of the following is not true about `sclereids'?

(1) These are groups of living cells.

(2) These are found in nut shells, guava pulp, pear.

(3) These are also called stone cells.

(4) These are form of sclerenchyma with fibres.

",Anatomy of Flowering Plants
20," Which of the following plant cells will show totipotency?

(1) Sieve tubes

(2) Xylem vessels

(3) Meristem

(4) Cork cells

",Anatomy of Flowering Plants
21," Bordered pits are found in

(1) sieve cells

(2) vessel wall

(3) companion cells

(4) sieve tube wall.

",Anatomy of Flowering Plants
22," An organised and differentiated cellular structure having cytoplasm
but no nucleus is

(1) vessels

(2) xylem parenchyma

(3) sieve tubes

(4) tracheids.

",Anatomy of Flowering Plants
23," Angular collenchyma occurs in

(1) Cucurbita

(2) Helianthus

(3) Althaea

(4) Salvia.

",Anatomy of Flowering Plants
24," Collenchyma occurs in

(1) herbaceous climbers

(2) woody climbers

(3) climbing stems

(4) water plants.

",Anatomy of Flowering Plants
25," Collenchyma occurs in the stem and petioles of

(1) xerophytes

(2) monocots

(3) dicot herbs

(4) hydrophytes.

",Anatomy of Flowering Plants
26," Cork cambium and vascular cambium are

(1) parts of secondary xylem and phloem

(2) parts of pericycle

(3) lateral meristem

(4) apical meristem.

",Anatomy of Flowering Plants
27," Sieve tubes are suited for translocation of food because they
possess

(1) bordered pits

(2) no end walls

(3) broader lumen and perforated cross walls

(4) no protoplasm.

",Anatomy of Flowering Plants
28," Death of protoplasm is a pre-requisite for a vital function like

(1) transport of sap

(2) transport of food

(3) absorption of water

(4) gaseous exchange.

",Anatomy of Flowering Plants
29," Organisation of stem apex into corpus and tunica is determined
mainly by

(1) planes of cell division

(2) regions of meristematic activity

(3) rate of cell growth

(4) rate of shoot tip growth.

",Anatomy of Flowering Plants
30," Which meristem helps in increasing girth?

(1) Lateral meristem

(2) Intercalary meristem

(3) Primary meristem

(4) Apical meristem

",Anatomy of Flowering Plants
31," Tunica corpus theory is connected with

(1) root apex

(2) root cap

(3) shoot apex

(4) secondary growth.

",Anatomy of Flowering Plants
32," Stomata in grass leaf are

(1) dumb-bell shaped

(2) kidney-shaped

(3) rectangular

(4) barrel-shaped.

",Anatomy of Flowering Plants
