,text,unit
0," The general molecular formula, which represents the homologous series
of alkanols is\\
(1) \(C_{n}H_{2n + 2}O\)\\
(2) \(C_{n}H_{2n}O_{2}\)\\
(3) \(C_{n}H_{2n}O\)\\
(4) \(C_{n}H_{2n + 1}O\)

","Alcohols, Phenols and Ethers"
1," Reaction between acetone and methyl magnesium chloride followed by
hydrolysis will give\\
(1) iso-propyl alcohol\\
(2) sec-butyl alcohol\\
(3) tert-butyl alcohol\\
(4) iso-butyl alcohol.

","Alcohols, Phenols and Ethers"
2," When vapours of a secondary alcohol is passed over heated copper at
\(573\text{\ }K\), the product formed is\\
(1) a carboxylic acid\\
(2) an aldehyde\\
(3) a ketone\\
(4) an alkene.

","Alcohols, Phenols and Ethers"
3," In the reaction,

the electrophile involved is\\
(1) dichloromethyl cation
\(\left( \overset{+}{C}\text{HCl}_{2} \right)\)\\
(2) formyl cation ( \(\ ^{+}\text{CHO}\) )\\
(3) dichloromethyl anion (
\(\left. \ \overline{C}\text{HCl}_{2} \right)\)\\
(4) dichlorocarbene \(\left( :\text{CCl}_{2} \right)\)

","Alcohols, Phenols and Ethers"
4," Compound \(A,C_{8}H_{10}O\), is found to react with \(\text{NaOI}\)
(produced by reacting \(Y\) with \(\text{NaOH}\) ) and yields a yellow
precipitate with characteristic smell. \(A\) and \(Y\) are respectively


(1) a

(2) b

(3) c

(4) d

","Alcohols, Phenols and Ethers"
6," Reaction of phenol with chloroform in presence of dilute sodium
hydroxide finally introduces which one of the following functional
group?\\
(1) \(- COOH\)\\
(2) \(- \text{CHCl}_{2}\)\\
(3) \(- CHO\)\\
(4) \(- \text{CH}_{2}\text{Cl}\)

","Alcohols, Phenols and Ethers"
7," Which of the following reaction(s) can be used for the preparation
of alkyl halides?\\
(I)
\(\text{CH}_{3}\text{CH}_{2}OH + HCl\overset{\text{~Anh.}\text{~}\text{ZnCl}_{2}}{\longrightarrow}\)\\
(II) \(\text{CH}_{3}\text{CH}_{2}OH + HCl \longrightarrow\)\\
(III) \(\left( \text{CH}_{3} \right)_{3}COH + HCl \longrightarrow\)

(IV)
\(\left( \text{CH}_{3} \right)_{2}CHOH + HCl\overset{\text{~Anh.~}\text{ZnCl}_{2}}{\longrightarrow}\)

(1) (I) and (II) only\\
(2) (IV) only\\
(3) (III) and (IV) only\\
(4) (I), (III) and (IV) only

","Alcohols, Phenols and Ethers"
8," Which of the following will not be soluble in sodium hydrogen
carbonate?\\
(1) 2,4,6-Trinitrophenol\\
(2) Benzoic acid\\
(3) o-Nitrophenol\\
(4) Benzenesulphonic acid

","Alcohols, Phenols and Ethers"
9," Number of isomeric alcohols of molecular formula \(C_{6}H_{14}O\)
which give positive iodoform test is

(1) three\\
(2) four\\
(3) five\\
(4) two.

","Alcohols, Phenols and Ethers"
10," In the following sequence of reactions,

\[\text{CH}_{3} - Br\overset{\text{KCN}}{\longrightarrow}A\overset{H_{3}O^{+}}{\longrightarrow}B\overset{\text{LiAlH}_{4}}{\text{~ether~}}C\]

the end product \((C)\) is\\
(1) acetone\\
(2) methane\\
(3) acetaldehyde\\
(4) ethyl alcohol.

","Alcohols, Phenols and Ethers"
11," Given are cyclohexanol (I), acetic acid (II), 2,4,6-trinitrophenol
(III) and phenol (IV). In these the order of decreasing acidic character
will be\\
(1) III \(>\) II \(>\) IV \(>\) I\\
(2) II \(>\) III \(>\) I \(>\) IV\\
(3) II \(>\) III \(>\) IV \(>\) I\\
(4) III \(>\) IV \(>\) II \(>\) I

","Alcohols, Phenols and Ethers"
