,text,unit
0," The angle between the lines whose direction cosines satisfy the equations $l+m+n=0$ and $l^2=m^2+n^2$, is

(a) $\frac{\pi}{3}$
(b) $\frac{\pi}{4}$
(c) $\frac{\pi}{6}$
(d) $\frac{\pi}{2}$
",3D
1," The distance of the point having position vector $-\hat{\mathbf{i}}+2 \hat{\mathbf{j}}+6 \hat{\mathbf{k}}$ from the straight line passing through the point $(2,3,-4)$ and parallel to the vector, $6 \hat{\mathbf{i}}+3 \hat{\mathbf{j}}-4 \hat{\mathbf{k}}$ is

(a) $2 \sqrt{13}$
(b) $4 \sqrt{3}$
(c) 6
(d) 7
",3D
2," The vertices $B$ and $C$ of a $\triangle A B C$ lie on the line, $\frac{x+2}{3}=\frac{y-1}{0}=\frac{z}{4}$ such that $B C=5$ units. Then, the area (in sq units) of this triangle, given that the point $A(1,-1,2)$ is

(a) $\sqrt{34}$
(b) $2 \sqrt{34}$
(c) $5 \sqrt{17}$
(d) 6
",3D
3," Let $\sqrt{3} \hat{\mathbf{i}}+\hat{\mathbf{j}}, \hat{\mathbf{i}}+\sqrt{3} \hat{\mathbf{j}}$ and $\beta \hat{\mathbf{i}}+(1-\beta) \hat{\mathbf{j}}$ respectively be the position vectors of the points $A, B$ and $C$ with respect to the origin $O$. If the distance of $C$ from the bisector of the acute angle between $O A$ and $O B$ is $\frac{3}{\sqrt{2}}$, then the sum of all possible values of $\beta$ is

(a) 1
(b) 3
(c) 4
(d) 2
",3D
4," If the line, $\frac{x-3}{2}=\frac{y+2}{-1}=\frac{z+4}{3}$ lies in the plane, $l x+m y-z=9$, then $l^2+m^2$ is equal to

(a) 26
(b) 18
(c) 5
(d) 2
",3D
5," If the lines $\frac{x-2}{1}=\frac{y-3}{1}=\frac{z-4}{-k}$ and $\frac{x-1}{k}=\frac{y-4}{2}=\frac{z-5}{1}$ are coplanar, then $k$ can have

(a) any value
(b) exactly one value
(c) exactly two values
(d) exactly three values
",3D
6," If the lines $\frac{x-1}{2}=\frac{y+1}{3}=\frac{z-1}{4}$ and $\frac{x-3}{1}=\frac{y-k}{2}=\frac{z}{1}$ intersect, then the value of $k$ is

(a) $\frac{3}{2}$
(b) $\frac{9}{2}$
(c) $-\frac{2}{9}$
(d) $-\frac{3}{2}$
",3D
7," From a point $P(\lambda, \lambda, \lambda)$, perpendiculars $P Q$ and $P R$ are drawn respectively on the lines $y=x, z=1$ and $y=-x, z=-1$. If $P$ is such that $\angle Q P R$ is a right angle, then the possible value(s) of $\lambda$ is (are)

(a) $\sqrt{2}$
(b) 1
(c) -1
(d) $-\sqrt{2}$
",3D
8," Two lines $L_1: x=5, \frac{y}{3-\alpha}=\frac{z}{-2}$ and $L_2: x=\alpha, \frac{y}{-1}=\frac{z}{2-\alpha}$ are coplanar. Then, $\alpha$ can take value(s)

(a) 1
(b) 2
(c) 3
(d) 4
",3D
9," A line $l$ passing through the origin is perpendicular to the lines

$$
\begin{aligned}
& l_1:(3+t) \hat{\mathbf{i}}+(-1+2 t) \hat{\mathbf{j}}+(4+2 t) \hat{\mathbf{k}},-\infty<t<\infty \\
& l_2:(3+2 s) \hat{\mathbf{i}}+(3+2 s) \hat{\mathbf{j}}+(2+s) \hat{\mathbf{k}},-\infty<s<\infty
\end{aligned}
$$
Then, the coordinate(s) of the point(s) on $l_2$ at a distance of $\sqrt{17}$ from the point of intersection of $l$ and $l_1$ is (are)
(a) $\left(\frac{7}{3}, \frac{7}{3}, \frac{5}{3}\right)$
(b) $(-1,-1,0)$
(c) $(1,1,1)$
(d) $\left(\frac{7}{9}, \frac{7}{9}, \frac{8}{9}\right)$
",3D
