,text,unit
0," The centre of mass of a non uniform rod of length \(L\)
whose mass per unit length varies as \(\rho = kx^{2}/L\) (where \(k\) is
a constant and \(x\) is the distance measured from one end) is at the
following distance from the same end.

(1) \(3\text{\ }L/4\)

(2) \(L/4\)

(3) \(2\text{\ }L/3\)

(4) \(L/3\)

","Conservation of Momentum, Collisions and COM"
5," An isolated particle of mass \(m\) is moving in horizontal
plane \((x - y)\), along the \(x\)-axis, at a certain height above the
ground. It suddenly explodes into two fragment of masses \(\frac{m}{4}\)
and \(\frac{3\text{\ }m}{4}\). An instant later, the smaller fragment is
at \(= + 15\text{\ }\text{cm}\). The larger fragment at this instant is
at :-

(1) \(y = - 5\text{\ }\text{cm}\)

(2) \(y = + 20\text{\ }\text{cm}\)

(3) \(y = + 5\text{\ }\text{cm}\)

(4) \(y = - 20\text{\ }\text{cm}\)

","Conservation of Momentum, Collisions and COM"
6," Two particles \(A\) and \(B\) initially at rest, move
towards each other under the mutual force of attraction. At the instant
when the speed of \(A\) is \(v\) and the speed of \(B\) is \(2v\), the
speed of the centre of mass of the system is:-

(1) \(3v\)

(2) \(v\)

(3) \(1.5v\)

(4) zero

","Conservation of Momentum, Collisions and COM"
9," A particle of mass \(2\text{\ }m\) is connected by an
inextensible string of length \(1.2\text{\ }m\) to a ring of mass mhich
is free to slide on a horizontal smooth rod. Initially the ring and the
particle are at the same level with the string taut. Both are then
released simultaneously. The distance in meters moved by the ring when
the string becomes vertical is

(1) 0

(2) \(0.4\)

(3) \(0.8\)

(4) \(1.2\)

","Conservation of Momentum, Collisions and COM"
10," A ball of mass \(1\text{\ }\text{kg}\) drops vertically on
to the floor with a speed of \(25\text{\ }m/s\). It rebounds with an
initial velocity of \(10\text{\ }m/s\). What impulse acts on the ball
during contact?

(1) \(35\text{\ }\text{kg}\text{\ }m/s\) downwards

(2) \(35\text{\ }\text{kg}\text{\ }m/s\) upwards

(3) \(30\text{\ }\text{kg}\text{\ }m/s\) downwards

(4) \(30\text{\ }\text{kg}\text{\ }m/s\) upwards

","Conservation of Momentum, Collisions and COM"
11," A particle of mass \(m\) is made to move with uniform speed
\(v_{0}\) along the perimeter of a regular hexagon, inscribed in a
circle of radius \(R\). The magnitude of impulse applied at each corner
of the hexagon is

(1) \(2\text{mv}_{0}sin\pi/6\)

(2) \(mv_{0}sin\pi/6\)

(3) \(\text{mv}_{0}sin\pi/3\)

(4) \(2\text{mv}_{0}sin\pi/3\)

","Conservation of Momentum, Collisions and COM"
12," Two balls of same mass are dropped from the same height
\(h\), on to the floor. The first ball bounces to a height \(h/4\),
after the collision \(\&\) the second ball to a height \(h/16\). The
impulse applied by the first \(\&\) second ball on the floor are
\(I_{1}\) and \(I_{2}\) respectively. Then

(1) \(5I_{1} = 6I_{2}\)

(2) \(6I_{1} = 5I_{2}\)

(3) \(I_{1} = 2I_{2}\)

(4) \(2I_{1} = I_{2}\)

","Conservation of Momentum, Collisions and COM"
13," An impulse \(\overrightarrow{I}\) changes the velocity of a
particle from \({\overrightarrow{v}}_{1}\) to
\({\overrightarrow{v}}_{2}\). Kinetic energy gained by the particle is

(1)
\(\frac{1}{2}\overrightarrow{I}\left( {\overrightarrow{v}}_{1} + {\overrightarrow{v}}_{2} \right)\)

(2)
\(\frac{1}{2}\overrightarrow{I}\left( {\overrightarrow{v}}_{1} - {\overrightarrow{v}}_{2} \right)\)

(3)
\(\overrightarrow{I}\left( {\overrightarrow{v}}_{1} - {\overrightarrow{v}}_{2} \right)\)

(4)
\(\overrightarrow{I}\left( {\overrightarrow{v}}_{1} + {\overrightarrow{v}}_{2} \right)\)

","Conservation of Momentum, Collisions and COM"
14," A particle of mass \(4\text{\ }m\) which is at rest
explodes into masses \(m,m\& 2\text{\ }m\). Two of the fragments of
masses \(m\) and \(2\text{\ }m\) are found to move with equal speeds
\(v\) each in opposite directions. The total mechanical energy released
in the process of explosion is

(1) \(mv^{2}\)

(2) \(2mv^{2}\)

(3) \(1/2\text{mv}^{2}\)


(4) \(4mv^{2}\)

","Conservation of Momentum, Collisions and COM"
15," Two blocks \(A(3\text{\ }kg)\) and \(B(2\text{\ }kg)\)
resting on a smooth horizontal surface is connected by a spring of
stiffness \(480\text{\ }N/m\). Initially the spring is undeformed and a
velocity of \(2\text{\ }m/s\) is imparted to A along the line of the
spring away from B. The maximum extension in meters of the spring during
subsequent motion is

(1) \(\frac{1}{10}\)

(2) \(\frac{1}{2\sqrt{10}}\)

(3) \(\frac{1}{2\sqrt{15}}\)

(4) \(0.15\)

","Conservation of Momentum, Collisions and COM"
